               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10237,            0.046878,             0.05744,             0.38106,             0.08373,            0.067158,            0.012223,            0.098758,            0.024298,            0.048222,            0.003254,            0.003254,            0.070714
                   1,            0.092693,            0.032678,            0.044416,              0.7929,             0.18764,             0.18526,            0.037836,            0.085615,            0.017631,            0.035746,           0.0065221,           0.0065221,            0.040649
                   2,            0.081284,            0.026961,            0.035017,             0.48819,             0.24193,             0.20775,            0.074237,            0.082965,            0.015296,            0.029155,           0.0097242,           0.0097242,            0.010518
                   3,            0.074646,            0.025838,            0.029375,             0.59109,             0.48093,             0.43255,             0.13053,            0.069655,            0.016174,            0.021843,            0.009703,            0.009703,            0.009703
                   4,            0.064503,            0.024429,            0.025184,             0.49396,             0.79188,             0.66705,             0.24772,            0.058265,            0.014798,            0.020126,            0.009703,            0.009703,            0.009703
                   5,            0.058415,             0.02381,            0.022443,             0.64343,             0.75267,             0.74333,             0.33577,            0.051898,            0.013905,            0.019048,            0.009604,            0.009604,            0.009604
                   6,            0.053432,            0.023042,            0.020371,             0.74066,             0.66775,             0.71565,             0.29034,            0.052457,            0.013898,            0.020828,            0.009505,            0.009505,            0.009505
                   7,            0.050826,             0.02233,            0.019336,             0.91528,             0.67709,             0.77604,             0.40745,            0.048179,            0.013166,            0.018231,            0.009406,            0.009406,            0.009406
                   8,            0.051577,            0.022362,            0.018066,             0.67707,             0.65521,             0.70703,             0.34567,            0.050275,            0.013708,            0.021394,            0.009307,            0.009307,            0.009307
                   9,             0.04893,            0.021244,            0.016385,             0.82581,             0.70771,             0.74913,             0.40478,            0.049453,            0.013712,            0.015563,            0.009208,            0.009208,            0.009208
                  10,            0.046783,            0.021274,            0.015777,             0.88448,             0.71354,             0.81878,             0.46478,            0.044153,            0.013347,            0.016441,            0.009109,            0.009109,            0.009109
