               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10549,            0.045969,            0.058582,             0.35086,             0.13262,             0.01195,           0.0019638,             0.10161,            0.027857,            0.049284,            0.003252,            0.003252,            0.070732
                   1,            0.093894,            0.034765,            0.044748,             0.58282,             0.34144,             0.18332,            0.061061,            0.082109,            0.017382,            0.036925,           0.0065202,           0.0065202,            0.040667
                   2,            0.088212,            0.029557,            0.037078,             0.67983,             0.29319,             0.25352,            0.088857,            0.076082,            0.016834,              0.0287,           0.0097223,           0.0097223,            0.010535
                   3,            0.073086,            0.026566,            0.029343,             0.70633,             0.37247,             0.44442,             0.14185,            0.070707,            0.020132,            0.021709,            0.009703,            0.009703,            0.009703
                   4,            0.063078,            0.024557,            0.024527,             0.52776,             0.65991,             0.48193,              0.1817,             0.05853,            0.015109,            0.020223,            0.009703,            0.009703,            0.009703
                   5,            0.058427,            0.025132,            0.022385,             0.81574,              0.6647,             0.68466,             0.36108,            0.049093,            0.012864,            0.018799,            0.009604,            0.009604,            0.009604
                   6,            0.052578,            0.022752,            0.019482,             0.70009,             0.64631,             0.62001,             0.27658,            0.049191,            0.012665,            0.017746,            0.009505,            0.009505,            0.009505
                   7,            0.050023,            0.022569,            0.019075,             0.69725,             0.69445,             0.67798,             0.30736,            0.053152,            0.012726,            0.015621,            0.009406,            0.009406,            0.009406
                   8,            0.049469,            0.022649,            0.017798,             0.86954,             0.61286,             0.70464,             0.36162,             0.04484,            0.012483,            0.017524,            0.009307,            0.009307,            0.009307
                   9,            0.047641,            0.022084,            0.016058,             0.87876,             0.58795,             0.72382,             0.31981,            0.048559,            0.011838,            0.015425,            0.009208,            0.009208,            0.009208
                  10,            0.047611,            0.022144,            0.014846,             0.75975,             0.71532,             0.78319,             0.41572,             0.04517,            0.011704,            0.015153,            0.009109,            0.009109,            0.009109
                  11,            0.043952,            0.021132,            0.014066,             0.77614,              0.7034,              0.8287,             0.45761,            0.040946,            0.012043,            0.016404,             0.00901,             0.00901,             0.00901
                  12,              0.0438,            0.020726,             0.01347,             0.78217,             0.71802,             0.83908,             0.42029,            0.046282,             0.01196,            0.013833,            0.008911,            0.008911,            0.008911
                  13,            0.043833,            0.021067,            0.012743,             0.92554,             0.75893,             0.86072,             0.45525,            0.042947,            0.012066,            0.012744,            0.008812,            0.008812,            0.008812
                  14,            0.042274,            0.021052,             0.01229,             0.87189,             0.70039,              0.8703,             0.48017,            0.041059,            0.011901,            0.012819,            0.008713,            0.008713,            0.008713
                  15,            0.041976,            0.020475,            0.012374,             0.78313,             0.71758,             0.81987,               0.433,             0.04424,            0.011657,             0.01404,            0.008614,            0.008614,            0.008614
                  16,            0.039778,            0.019666,            0.011125,             0.86338,             0.70642,             0.78522,             0.42621,            0.040763,            0.011652,            0.014947,            0.008515,            0.008515,            0.008515
                  17,            0.040379,            0.019515,            0.011178,             0.89507,             0.75688,             0.87739,             0.47749,            0.040173,            0.012116,             0.01372,            0.008416,            0.008416,            0.008416
                  18,            0.040425,            0.020239,            0.011082,             0.82361,             0.76463,             0.82778,              0.4499,            0.040882,            0.011855,            0.014896,            0.008317,            0.008317,            0.008317
                  19,             0.03934,            0.019034,            0.010682,             0.89265,             0.72533,             0.84033,             0.47805,            0.039771,            0.011764,            0.012947,            0.008218,            0.008218,            0.008218
                  20,            0.038003,            0.019675,            0.010383,             0.85796,             0.78231,             0.86347,             0.49948,            0.039731,            0.011717,            0.013637,            0.008119,            0.008119,            0.008119
                  21,            0.038394,            0.019119,            0.010249,             0.83234,             0.80102,             0.85165,             0.49788,            0.039789,            0.011899,             0.01198,             0.00802,             0.00802,             0.00802
                  22,            0.038348,            0.018597,           0.0098717,             0.91456,             0.76264,             0.92604,             0.51122,            0.042608,            0.012863,            0.013946,            0.007921,            0.007921,            0.007921
                  23,            0.037876,            0.019123,           0.0097662,             0.85008,             0.72673,             0.86428,             0.49153,            0.039793,            0.013121,            0.015094,            0.007822,            0.007822,            0.007822
                  24,            0.036417,            0.018294,           0.0092943,             0.88445,             0.72583,             0.85967,             0.46379,            0.041558,            0.012767,            0.016049,            0.007723,            0.007723,            0.007723
                  25,             0.03781,            0.019037,           0.0092285,             0.88766,             0.74251,             0.86151,             0.47264,            0.042497,            0.012012,            0.012472,            0.007624,            0.007624,            0.007624
                  26,            0.034962,             0.01845,           0.0087071,             0.74502,             0.83217,             0.83961,             0.49253,            0.039699,            0.012012,             0.01716,            0.007525,            0.007525,            0.007525
                  27,            0.036348,            0.018088,           0.0090234,              0.8778,             0.75754,             0.85738,               0.489,              0.0411,            0.014892,            0.014707,            0.007426,            0.007426,            0.007426
                  28,            0.035705,            0.018498,           0.0089108,             0.87363,             0.74715,             0.86946,             0.48816,            0.039378,            0.011827,            0.015049,            0.007327,            0.007327,            0.007327
                  29,            0.033987,            0.018314,           0.0085383,             0.73447,             0.82205,             0.87972,               0.517,            0.038402,            0.012041,            0.014861,            0.007228,            0.007228,            0.007228
                  30,             0.03362,             0.01757,           0.0083187,             0.77309,             0.85801,             0.90032,             0.51398,            0.038739,            0.011548,            0.013885,            0.007129,            0.007129,            0.007129
                  31,            0.033478,            0.017567,           0.0084719,              0.8929,             0.79145,              0.9317,              0.5407,            0.039364,            0.011982,            0.012591,             0.00703,             0.00703,             0.00703
                  32,            0.033765,            0.017504,           0.0083401,             0.74243,              0.8425,             0.90277,             0.54398,            0.037912,             0.01156,             0.01335,            0.006931,            0.006931,            0.006931
                  33,            0.033564,            0.017402,           0.0079724,             0.85212,             0.75937,             0.88177,             0.49762,            0.041186,            0.012152,             0.01373,            0.006832,            0.006832,            0.006832
                  34,            0.034407,            0.018059,           0.0079965,             0.83175,              0.8255,             0.88131,             0.51589,            0.038427,            0.011789,            0.014016,            0.006733,            0.006733,            0.006733
                  35,            0.032732,            0.017007,           0.0078401,             0.77952,             0.82773,             0.86348,              0.5074,            0.039153,            0.011857,            0.016095,            0.006634,            0.006634,            0.006634
                  36,            0.031886,            0.016764,           0.0077186,             0.71875,              0.8283,             0.87154,             0.51175,            0.041209,            0.012254,            0.012433,            0.006535,            0.006535,            0.006535
                  37,            0.032226,            0.016743,           0.0079508,             0.78431,             0.83232,              0.8655,             0.52527,            0.038283,            0.012056,            0.013882,            0.006436,            0.006436,            0.006436
                  38,            0.032076,            0.016332,           0.0077823,             0.80237,             0.87525,             0.91216,             0.49759,            0.039353,            0.012337,            0.013204,            0.006337,            0.006337,            0.006337
                  39,            0.031518,            0.016529,           0.0074232,             0.72491,             0.89532,              0.9133,              0.5496,            0.038322,            0.011713,            0.013328,            0.006238,            0.006238,            0.006238
                  40,            0.031227,            0.016262,           0.0075412,             0.91022,             0.75287,             0.89878,             0.52559,            0.039419,            0.012268,            0.013688,            0.006139,            0.006139,            0.006139
                  41,             0.03153,            0.016444,           0.0075103,             0.87001,             0.76768,             0.84627,             0.51125,            0.039633,            0.012452,            0.013807,             0.00604,             0.00604,             0.00604
                  42,            0.030311,            0.016317,           0.0074421,             0.83079,              0.7393,             0.84039,             0.50988,            0.039912,             0.01266,            0.016368,            0.005941,            0.005941,            0.005941
                  43,            0.030959,            0.016278,           0.0073688,             0.80231,             0.86585,             0.87008,             0.52555,            0.039421,            0.012216,            0.014581,            0.005842,            0.005842,            0.005842
                  44,            0.029601,            0.015997,           0.0070204,              0.7636,                0.82,              0.8782,             0.53979,             0.03745,            0.012268,            0.015619,            0.005743,            0.005743,            0.005743
                  45,            0.030004,            0.016302,           0.0072855,             0.70832,             0.88449,             0.87417,             0.51965,            0.038035,            0.012686,            0.014454,            0.005644,            0.005644,            0.005644
                  46,            0.029398,            0.016252,           0.0070203,             0.82412,             0.76749,             0.82784,             0.50685,            0.039065,            0.012831,             0.01489,            0.005545,            0.005545,            0.005545
                  47,            0.029046,            0.016037,           0.0070912,             0.81574,               0.765,             0.85123,             0.51575,            0.037769,            0.012657,             0.01458,            0.005446,            0.005446,            0.005446
                  48,            0.028928,            0.015614,           0.0068524,             0.88751,             0.70948,             0.87142,             0.51433,            0.038534,            0.012684,            0.015016,            0.005347,            0.005347,            0.005347
                  49,            0.029683,            0.016408,           0.0068661,             0.66807,             0.88866,             0.88528,             0.53558,            0.039982,            0.013226,            0.014353,            0.005248,            0.005248,            0.005248
                  50,            0.029753,            0.015624,           0.0068779,             0.84682,             0.81114,             0.90485,             0.55818,            0.037874,             0.01245,            0.012352,            0.005149,            0.005149,            0.005149
                  51,            0.027677,            0.015825,           0.0066771,             0.89971,             0.75535,             0.86907,              0.5339,            0.037842,            0.012316,            0.012223,             0.00505,             0.00505,             0.00505
                  52,            0.028873,             0.01526,           0.0066997,             0.87008,             0.76573,             0.92142,             0.55376,            0.038522,            0.012305,            0.011831,            0.004951,            0.004951,            0.004951
                  53,            0.028461,            0.015348,           0.0069213,             0.82387,             0.77426,             0.88619,             0.52542,            0.038838,             0.01334,            0.012672,            0.004852,            0.004852,            0.004852
                  54,            0.027874,            0.015516,           0.0067035,             0.87776,             0.76326,             0.87075,             0.52399,            0.038805,            0.012809,            0.013389,            0.004753,            0.004753,            0.004753
                  55,            0.028214,            0.015436,           0.0065815,             0.91428,             0.71818,             0.90196,              0.5519,             0.03781,            0.013343,            0.014673,            0.004654,            0.004654,            0.004654
                  56,            0.027296,            0.015205,           0.0065568,              0.7809,             0.83028,             0.88628,             0.53344,            0.038072,            0.012808,            0.013727,            0.004555,            0.004555,            0.004555
                  57,             0.02653,            0.014959,           0.0065506,             0.71086,             0.85898,             0.90124,             0.52698,            0.038185,            0.013009,            0.013384,            0.004456,            0.004456,            0.004456
                  58,            0.027088,            0.014722,           0.0063983,             0.83484,             0.75698,             0.87228,             0.53347,            0.038291,            0.012775,            0.015761,            0.004357,            0.004357,            0.004357
                  59,            0.027069,            0.014588,           0.0064975,             0.74602,             0.83398,             0.88003,             0.51319,            0.038626,            0.013252,            0.015151,            0.004258,            0.004258,            0.004258
                  60,            0.026457,            0.014289,            0.006153,             0.81773,             0.83777,             0.89686,             0.53248,            0.037972,            0.013181,            0.013698,            0.004159,            0.004159,            0.004159
                  61,            0.026378,             0.01495,           0.0065412,             0.87333,             0.77116,             0.87613,             0.51933,            0.037735,            0.013363,            0.014284,             0.00406,             0.00406,             0.00406
                  62,            0.025391,            0.014128,           0.0063326,             0.86666,             0.77201,             0.89832,             0.53195,             0.03803,            0.013452,            0.013948,            0.003961,            0.003961,            0.003961
                  63,            0.025811,            0.014442,           0.0062623,             0.67582,             0.87754,             0.90163,             0.54174,             0.03759,            0.013293,            0.013888,            0.003862,            0.003862,            0.003862
                  64,            0.026006,            0.013951,           0.0061025,             0.86789,               0.733,             0.85669,             0.51219,            0.037882,            0.013737,            0.017123,            0.003763,            0.003763,            0.003763
                  65,            0.025118,            0.014245,           0.0063713,             0.75457,              0.8461,             0.90274,             0.54292,            0.037472,            0.013147,            0.015249,            0.003664,            0.003664,            0.003664
                  66,             0.02517,            0.013957,           0.0061222,             0.83827,             0.74963,             0.86774,             0.52254,            0.038196,             0.01344,            0.014526,            0.003565,            0.003565,            0.003565
                  67,            0.024767,            0.013783,           0.0058866,               0.816,             0.76146,             0.85503,             0.50239,            0.037305,             0.01361,            0.015573,            0.003466,            0.003466,            0.003466
                  68,            0.025165,            0.013934,           0.0061005,             0.85435,              0.7446,             0.88616,             0.51594,            0.037426,            0.013486,            0.016922,            0.003367,            0.003367,            0.003367
                  69,            0.024366,            0.013845,            0.006071,             0.85489,             0.77663,             0.90411,             0.53097,             0.03704,            0.013382,            0.013644,            0.003268,            0.003268,            0.003268
