               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036503,            0.019416,           0.0090532,             0.84205,             0.73644,              0.7858,             0.46833,            0.041793,            0.013174,            0.016637,            0.006436,            0.006436,            0.006436
                  38,            0.036623,             0.01871,           0.0092835,             0.87344,             0.67774,             0.77798,              0.4724,            0.041677,            0.013154,            0.016998,            0.006337,            0.006337,            0.006337
                  39,            0.036861,            0.018267,           0.0089641,             0.84047,             0.72122,              0.7997,             0.46456,            0.042176,            0.012725,            0.016096,            0.006238,            0.006238,            0.006238
                  40,            0.036094,            0.019013,           0.0090312,             0.90355,             0.67634,             0.80002,              0.4543,            0.041969,            0.013113,            0.015362,            0.006139,            0.006139,            0.006139
                  41,            0.036454,            0.018426,           0.0090456,              0.9222,             0.68636,             0.82625,             0.47431,            0.041616,            0.013579,            0.016386,             0.00604,             0.00604,             0.00604
                  42,            0.035931,            0.018371,           0.0087349,             0.86836,             0.72293,             0.79536,             0.44621,            0.041769,            0.013193,            0.016229,            0.005941,            0.005941,            0.005941
                  43,            0.034788,            0.018582,           0.0086901,             0.85569,             0.70416,             0.76223,             0.46876,            0.042473,            0.013515,            0.017176,            0.005842,            0.005842,            0.005842
                  44,            0.035733,            0.018385,           0.0084223,             0.85688,             0.69742,             0.75785,             0.45388,            0.040921,            0.012884,            0.016997,            0.005743,            0.005743,            0.005743
                  45,            0.034054,            0.018062,           0.0084891,             0.84791,             0.70608,             0.78361,             0.45662,            0.041637,            0.012826,            0.016572,            0.005644,            0.005644,            0.005644
                  46,            0.033685,              0.0181,           0.0083239,             0.85537,             0.68109,             0.76113,             0.46711,            0.041337,             0.01351,            0.017345,            0.005545,            0.005545,            0.005545
                  47,             0.03393,            0.017392,           0.0079902,             0.90249,              0.7113,             0.77396,             0.46198,            0.041404,            0.012542,            0.016918,            0.005446,            0.005446,            0.005446
                  48,            0.034904,            0.018199,           0.0084013,              0.8799,             0.73059,             0.79339,             0.44943,            0.040918,            0.013104,             0.01649,            0.005347,            0.005347,            0.005347
                  49,            0.033885,            0.018084,           0.0082858,              0.8827,             0.73342,             0.80593,             0.47894,            0.040868,            0.013316,            0.016244,            0.005248,            0.005248,            0.005248
                  50,            0.033386,            0.017659,           0.0078796,              0.8993,              0.7313,             0.80293,             0.48059,            0.041453,            0.013011,            0.017056,            0.005149,            0.005149,            0.005149
                  51,            0.033589,            0.018165,           0.0077599,             0.82426,             0.73682,             0.76067,             0.43969,             0.04178,            0.013976,            0.017393,             0.00505,             0.00505,             0.00505
                  52,             0.03204,            0.017116,           0.0080457,             0.86607,             0.72437,             0.80218,              0.4664,            0.041366,            0.013705,              0.0171,            0.004951,            0.004951,            0.004951
                  53,            0.033352,            0.018291,           0.0079707,             0.81253,             0.68098,             0.73926,             0.44629,             0.04167,            0.013502,            0.017455,            0.004852,            0.004852,            0.004852
                  54,            0.031493,            0.017795,           0.0077672,             0.83529,             0.74656,             0.78841,             0.45052,            0.040767,            0.013628,            0.015884,            0.004753,            0.004753,            0.004753
                  55,            0.031815,            0.017103,           0.0072525,             0.85339,             0.71709,             0.78402,             0.44885,            0.041594,            0.013272,            0.017734,            0.004654,            0.004654,            0.004654
                  56,            0.032246,            0.017008,           0.0075128,              0.8668,             0.70237,             0.77316,               0.449,            0.041353,            0.013774,            0.017684,            0.004555,            0.004555,            0.004555
                  57,            0.031659,            0.016794,           0.0074975,             0.87062,             0.68946,             0.77633,             0.44577,            0.040928,            0.013781,            0.017906,            0.004456,            0.004456,            0.004456
                  58,            0.030794,            0.017314,           0.0078101,             0.87586,             0.69603,             0.76742,               0.465,            0.041066,            0.013876,            0.017116,            0.004357,            0.004357,            0.004357
                  59,            0.031112,            0.016719,           0.0073081,             0.93566,             0.70705,             0.78988,             0.46176,            0.040929,            0.013329,             0.01588,            0.004258,            0.004258,            0.004258
                  60,            0.031263,            0.016752,           0.0074795,             0.90636,             0.70611,             0.80528,             0.48054,            0.040924,            0.013306,            0.017106,            0.004159,            0.004159,            0.004159
                  61,            0.030795,            0.016989,           0.0073302,             0.87374,             0.74646,             0.78073,             0.46683,            0.041183,             0.01322,            0.016832,             0.00406,             0.00406,             0.00406
                  62,            0.030669,            0.017004,           0.0075904,             0.85693,             0.72084,             0.81925,              0.4918,            0.040294,            0.013243,            0.017331,            0.003961,            0.003961,            0.003961
                  63,            0.030073,            0.016578,           0.0071645,             0.82341,             0.69832,             0.79306,             0.48159,            0.040456,            0.013615,            0.018126,            0.003862,            0.003862,            0.003862
                  64,            0.030838,            0.017087,           0.0074636,             0.87117,             0.71587,             0.77171,             0.49614,            0.040201,            0.013167,            0.017704,            0.003763,            0.003763,            0.003763
                  65,            0.030673,            0.016675,           0.0073081,             0.85327,             0.74028,             0.81776,               0.469,            0.041333,            0.013298,            0.016738,            0.003664,            0.003664,            0.003664
                  66,             0.02996,             0.01675,           0.0071475,             0.83912,             0.74586,             0.83264,             0.49348,            0.040834,            0.013626,            0.016461,            0.003565,            0.003565,            0.003565
                  67,            0.030014,            0.016697,           0.0071424,             0.88661,             0.72062,             0.82197,             0.49845,            0.040812,            0.013759,            0.016938,            0.003466,            0.003466,            0.003466
                  68,            0.029165,            0.016825,            0.007106,             0.93828,             0.69825,              0.8122,             0.48699,            0.040682,            0.013715,            0.015764,            0.003367,            0.003367,            0.003367
                  69,            0.028945,            0.016986,           0.0072901,             0.88443,             0.71848,             0.80061,             0.47705,            0.040625,            0.013642,            0.016474,            0.003268,            0.003268,            0.003268
                  70,            0.028439,            0.015893,           0.0070562,             0.90103,             0.71453,             0.80933,             0.47866,            0.040432,            0.013405,            0.016736,            0.003169,            0.003169,            0.003169
                  71,            0.028914,            0.016215,           0.0068037,             0.87085,             0.72271,             0.79768,             0.46074,            0.040609,            0.013329,            0.017558,             0.00307,             0.00307,             0.00307
                  72,            0.028448,            0.016309,           0.0067066,             0.86536,             0.73631,             0.82131,             0.46678,            0.040588,            0.013242,            0.016425,            0.002971,            0.002971,            0.002971
                  73,            0.028032,            0.015455,           0.0065566,             0.92308,             0.71422,             0.82314,             0.48404,            0.039857,             0.01328,             0.01629,            0.002872,            0.002872,            0.002872
                  74,            0.027913,            0.015764,           0.0064812,             0.92068,             0.72175,             0.82118,             0.49196,            0.040299,            0.013333,            0.016989,            0.002773,            0.002773,            0.002773
                  75,             0.02836,            0.015596,           0.0068487,             0.91636,             0.73098,             0.82571,              0.4869,            0.040367,            0.013338,            0.016642,            0.002674,            0.002674,            0.002674
                  76,            0.028175,            0.015765,           0.0065045,             0.88094,             0.72048,             0.81452,             0.47291,            0.039757,             0.01333,            0.016899,            0.002575,            0.002575,            0.002575
                  77,            0.027768,            0.015173,           0.0067288,             0.89523,             0.70889,             0.79815,             0.48245,            0.040031,            0.013473,            0.017699,            0.002476,            0.002476,            0.002476
                  78,            0.027744,            0.015586,             0.00654,              0.8861,             0.72971,             0.83508,             0.50198,            0.040395,            0.013701,            0.017446,            0.002377,            0.002377,            0.002377
                  79,            0.026681,            0.015757,           0.0062928,             0.94452,             0.72959,             0.84259,              0.5043,            0.039951,            0.013202,            0.016386,            0.002278,            0.002278,            0.002278
                  80,            0.027406,            0.015134,           0.0066119,             0.93459,             0.69009,             0.82157,              0.4942,            0.040276,            0.013646,            0.016475,            0.002179,            0.002179,            0.002179
                  81,            0.026924,            0.016078,            0.006557,             0.88303,             0.74526,             0.82652,             0.48749,            0.039848,            0.013574,            0.016506,             0.00208,             0.00208,             0.00208
                  82,            0.026818,            0.015005,           0.0062961,             0.90524,             0.71996,             0.82343,             0.48256,            0.040316,             0.01356,            0.017546,            0.001981,            0.001981,            0.001981
                  83,            0.026044,            0.014443,           0.0060204,             0.93167,             0.73325,             0.82952,             0.49835,            0.040429,            0.013646,            0.017758,            0.001882,            0.001882,            0.001882
                  84,            0.026466,            0.014849,            0.006385,             0.89608,             0.74333,             0.79663,             0.49421,            0.040237,            0.013874,            0.017574,            0.001783,            0.001783,            0.001783
                  85,            0.025825,            0.015227,           0.0062275,             0.89241,             0.71723,             0.78425,             0.48246,            0.040222,            0.013678,            0.018508,            0.001684,            0.001684,            0.001684
