               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03721,            0.019496,           0.0098027,             0.98087,             0.99957,               0.995,             0.66678,            0.034422,            0.015512,           0.0051626,            0.007558,            0.007558,            0.007558
                  39,            0.037235,            0.019419,           0.0096822,             0.98855,                   1,               0.995,             0.61546,            0.042082,            0.017321,           0.0055487,            0.007492,            0.007492,            0.007492
                  40,            0.037377,            0.019332,           0.0098957,              0.9912,                   1,               0.995,             0.55108,            0.043747,            0.018199,           0.0062364,            0.007426,            0.007426,            0.007426
                  41,             0.03813,            0.019049,           0.0096052,             0.98416,                   1,               0.995,             0.63189,            0.038854,            0.017131,            0.006884,             0.00736,             0.00736,             0.00736
                  42,            0.036658,            0.018875,           0.0097831,             0.98599,                   1,               0.995,             0.68222,            0.037858,            0.016292,           0.0063918,            0.007294,            0.007294,            0.007294
                  43,            0.037153,            0.019231,           0.0098008,              0.9856,                   1,               0.995,             0.64832,            0.037562,              0.0163,           0.0061866,            0.007228,            0.007228,            0.007228
                  44,            0.036016,            0.018742,           0.0093082,             0.99099,                   1,               0.995,             0.61758,            0.038396,            0.016539,           0.0068573,            0.007162,            0.007162,            0.007162
                  45,            0.035666,            0.018638,           0.0092353,             0.99365,                   1,               0.995,             0.56579,            0.042128,            0.018257,           0.0075156,            0.007096,            0.007096,            0.007096
                  46,            0.036256,             0.01844,           0.0094161,             0.98177,                   1,               0.995,             0.59872,            0.041159,            0.017559,           0.0063364,             0.00703,             0.00703,             0.00703
                  47,            0.035752,            0.018304,           0.0092343,             0.98568,                   1,               0.995,             0.63131,            0.039905,            0.018699,           0.0061806,            0.006964,            0.006964,            0.006964
                  48,            0.035514,            0.018574,           0.0091119,             0.97564,             0.99994,               0.995,             0.61565,            0.043169,            0.018513,           0.0055612,            0.006898,            0.006898,            0.006898
                  49,            0.035313,            0.018268,               0.009,             0.98059,                   1,               0.995,             0.58248,            0.043399,            0.017851,           0.0059525,            0.006832,            0.006832,            0.006832
                  50,            0.034769,            0.018358,           0.0088952,             0.98928,                   1,               0.995,             0.56508,            0.043056,            0.018423,           0.0058353,            0.006766,            0.006766,            0.006766
                  51,            0.034825,            0.018294,           0.0089257,             0.98495,             0.99983,               0.995,             0.58128,            0.038534,            0.017434,           0.0066265,              0.0067,              0.0067,              0.0067
                  52,            0.035036,            0.018183,           0.0090482,             0.99684,                   1,               0.995,             0.59838,            0.042796,            0.017151,           0.0069156,            0.006634,            0.006634,            0.006634
                  53,            0.035143,            0.018654,           0.0092233,             0.99307,                   1,               0.995,             0.68078,            0.036104,            0.015271,           0.0059201,            0.006568,            0.006568,            0.006568
                  54,            0.033988,            0.018008,           0.0089169,              0.9952,                   1,               0.995,             0.58118,             0.03997,            0.016576,           0.0055147,            0.006502,            0.006502,            0.006502
                  55,            0.035012,            0.018536,           0.0085647,             0.98275,                   1,               0.995,             0.54983,            0.043255,             0.01738,           0.0068134,            0.006436,            0.006436,            0.006436
                  56,            0.034159,            0.018343,           0.0084376,             0.96192,                   1,               0.995,             0.63189,            0.040099,            0.015788,           0.0049308,             0.00637,             0.00637,             0.00637
                  57,             0.03385,            0.017416,           0.0084837,             0.98955,                   1,               0.995,             0.58335,            0.041094,            0.016742,           0.0053911,            0.006304,            0.006304,            0.006304
                  58,            0.034447,            0.018463,           0.0083968,             0.98661,                   1,               0.995,             0.61652,            0.037423,            0.017284,           0.0071736,            0.006238,            0.006238,            0.006238
                  59,            0.034128,            0.018106,           0.0085961,             0.98956,                   1,               0.995,              0.5814,            0.038397,            0.016742,           0.0058959,            0.006172,            0.006172,            0.006172
                  60,            0.032648,            0.017817,           0.0080987,              0.9956,             0.99992,               0.995,             0.64752,             0.03806,            0.017336,           0.0056303,            0.006106,            0.006106,            0.006106
                  61,            0.033075,            0.017568,           0.0083853,             0.99597,                   1,               0.995,             0.61588,            0.037243,            0.016269,           0.0062734,             0.00604,             0.00604,             0.00604
                  62,              0.0334,            0.017905,            0.008046,             0.99663,                   1,               0.995,             0.59896,            0.040599,            0.017081,           0.0058041,            0.005974,            0.005974,            0.005974
                  63,            0.032988,            0.017781,           0.0085024,             0.99405,                   1,               0.995,             0.63155,            0.040108,            0.018252,           0.0058783,            0.005908,            0.005908,            0.005908
                  64,            0.032402,            0.017547,           0.0082452,             0.98856,                   1,               0.995,              0.6656,            0.037229,            0.017239,           0.0052243,            0.005842,            0.005842,            0.005842
                  65,            0.032973,            0.017384,           0.0081093,             0.99245,                   1,               0.995,             0.61652,            0.036532,            0.016211,           0.0047583,            0.005776,            0.005776,            0.005776
                  66,            0.033159,            0.017442,           0.0079706,             0.98938,              0.9997,               0.995,              0.6809,            0.036168,            0.017517,           0.0061877,             0.00571,             0.00571,             0.00571
                  67,            0.032484,            0.017901,           0.0082597,             0.99826,                   1,               0.995,             0.59872,            0.039115,            0.017257,           0.0051221,            0.005644,            0.005644,            0.005644
                  68,             0.03229,            0.017085,           0.0077871,             0.98085,                   1,               0.995,             0.64969,            0.036452,            0.017576,           0.0047634,            0.005578,            0.005578,            0.005578
                  69,            0.031915,            0.017347,           0.0081494,             0.98717,                   1,               0.995,              0.6656,            0.035764,            0.016605,            0.005796,            0.005512,            0.005512,            0.005512
                  70,            0.032372,            0.017196,           0.0081525,              0.9714,                   1,               0.995,             0.66333,            0.033543,             0.01572,           0.0047279,            0.005446,            0.005446,            0.005446
                  71,            0.032293,            0.017493,           0.0080945,             0.98762,                   1,               0.995,             0.64773,            0.037756,            0.017475,           0.0052861,             0.00538,             0.00538,             0.00538
                  72,            0.031764,            0.017039,            0.007974,             0.98376,                   1,               0.995,             0.64761,            0.036924,            0.016028,           0.0055289,            0.005314,            0.005314,            0.005314
                  73,            0.031522,            0.016708,           0.0080206,              0.9819,                   1,               0.995,             0.68125,            0.032988,            0.015817,           0.0044012,            0.005248,            0.005248,            0.005248
                  74,            0.031528,            0.017111,           0.0078312,             0.99488,                   1,               0.995,             0.66678,            0.035832,            0.015916,           0.0047245,            0.005182,            0.005182,            0.005182
                  75,             0.03187,            0.016546,            0.007844,             0.98161,                   1,               0.995,             0.63469,            0.036827,            0.016205,           0.0049897,            0.005116,            0.005116,            0.005116
                  76,            0.031037,            0.016986,           0.0077053,             0.98885,                   1,               0.995,             0.73139,            0.031258,             0.01472,           0.0047262,             0.00505,             0.00505,             0.00505
                  77,            0.031533,            0.017113,           0.0077865,             0.99054,                   1,               0.995,             0.71377,            0.034886,            0.015849,           0.0051967,            0.004984,            0.004984,            0.004984
                  78,            0.030838,            0.016705,           0.0076889,             0.98725,             0.99952,               0.995,             0.64933,            0.039107,            0.017691,           0.0059381,            0.004918,            0.004918,            0.004918
                  79,            0.030931,            0.016434,           0.0079609,             0.98835,                   1,               0.995,             0.66725,            0.035568,            0.015815,           0.0044867,            0.004852,            0.004852,            0.004852
                  80,            0.031045,            0.016763,           0.0077071,             0.99062,                   1,               0.995,             0.69822,            0.037089,            0.015825,           0.0042749,            0.004786,            0.004786,            0.004786
                  81,              0.0309,            0.016539,           0.0076576,             0.98204,                   1,               0.995,              0.6656,            0.036061,            0.015898,           0.0045851,             0.00472,             0.00472,             0.00472
                  82,            0.029994,            0.016481,           0.0074176,             0.98346,                   1,               0.995,             0.64752,            0.034891,            0.017175,           0.0049517,            0.004654,            0.004654,            0.004654
                  83,            0.030072,            0.016885,           0.0074083,             0.98899,                   1,               0.995,             0.63469,             0.03863,            0.016921,           0.0054789,            0.004588,            0.004588,            0.004588
                  84,            0.030181,             0.01622,           0.0075195,             0.98271,                   1,               0.995,             0.61617,            0.036794,            0.017024,           0.0052234,            0.004522,            0.004522,            0.004522
                  85,             0.02991,            0.016058,           0.0073738,             0.98899,                   1,               0.995,             0.61617,            0.038497,            0.016022,           0.0047955,            0.004456,            0.004456,            0.004456
                  86,            0.029959,            0.016338,           0.0074365,             0.99191,                   1,               0.995,             0.58248,            0.040085,            0.017607,           0.0063494,             0.00439,             0.00439,             0.00439
                  87,            0.029858,            0.016849,           0.0073972,             0.98589,                   1,               0.995,             0.63212,            0.038177,            0.017423,           0.0053595,            0.004324,            0.004324,            0.004324
                  88,            0.029467,            0.016185,           0.0073981,              0.9895,                   1,               0.995,             0.63212,            0.036397,            0.016873,           0.0054405,            0.004258,            0.004258,            0.004258
                  89,            0.029169,            0.016099,           0.0071527,             0.98872,                   1,               0.995,             0.59926,            0.040649,            0.018001,           0.0072061,            0.004192,            0.004192,            0.004192
                  90,             0.02977,            0.016384,           0.0072901,              0.9869,                   1,               0.995,             0.64969,            0.035838,            0.017306,           0.0057329,            0.004126,            0.004126,            0.004126
                  91,            0.028898,            0.015876,           0.0071284,             0.99023,                   1,               0.995,             0.64788,            0.037489,            0.017012,           0.0055559,             0.00406,             0.00406,             0.00406
                  92,            0.029209,            0.015907,           0.0071825,             0.97973,                   1,               0.995,             0.64773,            0.036132,            0.015958,           0.0044085,            0.003994,            0.003994,            0.003994
                  93,            0.028906,            0.015732,           0.0071018,             0.99838,                   1,               0.995,             0.64761,            0.037307,            0.016071,           0.0045967,            0.003928,            0.003928,            0.003928
                  94,            0.029089,            0.015943,           0.0072135,             0.99545,                   1,               0.995,             0.61593,            0.039969,            0.018207,           0.0070724,            0.003862,            0.003862,            0.003862
                  95,             0.02868,            0.015903,           0.0071705,             0.99414,                   1,               0.995,             0.66529,            0.036086,             0.01731,            0.005483,            0.003796,            0.003796,            0.003796
                  96,            0.028668,            0.015498,           0.0068869,             0.99493,                   1,               0.995,             0.68105,            0.036409,            0.016189,           0.0052802,             0.00373,             0.00373,             0.00373
                  97,            0.028604,            0.015704,           0.0071592,             0.99298,                   1,               0.995,             0.64773,            0.034917,            0.016578,           0.0050201,            0.003664,            0.003664,            0.003664
                  98,            0.028455,            0.015752,           0.0071202,             0.98704,                   1,               0.995,             0.68105,            0.034989,            0.015861,           0.0049887,            0.003598,            0.003598,            0.003598
                  99,            0.028766,            0.015652,            0.007069,             0.98591,                   1,               0.995,              0.6656,            0.035679,            0.015819,           0.0047696,            0.003532,            0.003532,            0.003532
                 100,            0.028516,            0.015581,           0.0071238,             0.97868,                   1,               0.995,             0.68392,            0.033851,            0.015222,            0.004769,            0.003466,            0.003466,            0.003466
                 101,            0.027905,              0.0155,           0.0069759,             0.98555,                   1,               0.995,             0.74738,            0.032906,            0.015146,           0.0042207,              0.0034,              0.0034,              0.0034
                 102,            0.028202,            0.015793,           0.0071142,             0.98712,                   1,               0.995,             0.69876,            0.035585,            0.016521,            0.005277,            0.003334,            0.003334,            0.003334
                 103,            0.028139,            0.015335,           0.0072167,             0.99354,                   1,               0.995,             0.73163,            0.034701,            0.015991,            0.004409,            0.003268,            0.003268,            0.003268
                 104,            0.028262,            0.015381,           0.0068977,               0.991,                   1,               0.995,             0.69822,            0.035073,             0.01615,           0.0048823,            0.003202,            0.003202,            0.003202
                 105,            0.027866,            0.015277,           0.0069345,             0.98902,                   1,               0.995,             0.64752,            0.038545,            0.016793,           0.0055664,            0.003136,            0.003136,            0.003136
                 106,            0.027396,            0.015276,           0.0067758,             0.98726,                   1,               0.995,              0.6965,             0.03457,            0.018171,           0.0059671,             0.00307,             0.00307,             0.00307
                 107,            0.027518,            0.015067,            0.007088,             0.98772,                   1,               0.995,             0.64788,            0.036957,            0.018661,           0.0060503,            0.003004,            0.003004,            0.003004
                 108,            0.027364,            0.015167,           0.0065938,             0.98858,             0.99988,               0.995,             0.66333,             0.03466,            0.017829,           0.0059817,            0.002938,            0.002938,            0.002938
                 109,            0.026994,            0.014886,           0.0067477,             0.98813,                   1,               0.995,             0.70596,            0.031693,            0.015626,           0.0048443,            0.002872,            0.002872,            0.002872
                 110,            0.027325,            0.015382,           0.0068367,             0.98635,                   1,               0.995,              0.6965,            0.035201,            0.017809,           0.0052332,            0.002806,            0.002806,            0.002806
                 111,            0.026907,            0.014734,           0.0067514,              0.9936,                   1,               0.995,              0.6965,            0.035245,             0.01775,           0.0053442,             0.00274,             0.00274,             0.00274
                 112,            0.027139,            0.015264,           0.0068656,             0.98909,                   1,               0.995,             0.68125,            0.034779,            0.018546,           0.0055748,            0.002674,            0.002674,            0.002674
